outcome,output
-0.03878796100616455,0.41458040475845337
-0.8325810432434082,0.1643083393573761
-0.3603978455066681,-0.11154481768608093
1.152208685874939,0.23756377398967743
2.982820749282837,-0.179118350148201
-0.49893155694007874,0.12392447143793106
-0.427142858505249,0.5457820296287537
1.9059901237487793,0.32014644145965576
-0.6066146492958069,0.23741531372070312
0.8130494356155396,0.3839460611343384
1.2609233856201172,0.854155957698822
1.5470465421676636,-0.050666943192481995
0.2548498511314392,0.34945517778396606
-0.09821585565805435,0.09753108769655228
0.5778990387916565,-0.6130223870277405
-0.8937694430351257,-0.45260655879974365
0.07537808269262314,0.3998487889766693
0.07537808269262314,0.15500450134277344
-0.5704012513160706,0.4905841648578644
-0.7117659449577332,-0.44564253091812134
0.5245864391326904,0.2840219736099243
0.14716678857803345,0.22780215740203857
-0.032304976135492325,-0.43366751074790955
-0.1399880349636078,-0.3901323974132538
-2.256810188293457,-1.4673608541488647
0.9494873881340027,0.36487579345703125
1.5026205778121948,0.18714399635791779
-0.8578751087188721,-0.21855197846889496
-0.032304976135492325,0.22800973057746887
-0.3553541600704193,0.3098684251308441
-0.4046925902366638,-0.2541365921497345
2.6910858154296875,-0.2689010500907898
-0.31945979595184326,0.0747331902384758
-0.4320961534976959,0.0807359516620636
-1.2527129650115967,-0.48716482520103455
0.9727368950843811,0.150038480758667
-0.78608638048172,-0.008312487043440342
-0.6421233415603638,-0.5152843594551086
-1.9347057342529297,-0.26681405305862427
-0.16281823813915253,0.49357298016548157
-1.1091355085372925,-0.09551941603422165
-0.391248494386673,0.21769960224628448
-0.391248494386673,-0.0624992735683918
0.5778990387916565,-0.22038191556930542
1.4393634796142578,0.09229084104299545
-0.7801030278205872,-0.6131346225738525
-0.24767109751701355,0.2748868763446808
-1.3603960275650024,0.06389106810092926
-0.2644994854927063,0.39973053336143494
1.8781535625457764,-0.22718894481658936
-0.9294832944869995,-0.3255923092365265
-0.10816805064678192,-0.021401014178991318
1.6116162538528442,-0.1536528617143631
1.1307083368301392,-0.25468555092811584
-0.8219807147979736,0.4409114718437195
-2.2545628547668457,-0.09848813712596893
-1.0356676578521729,-0.38258087635040283
-0.7616602182388306,-0.5637297034263611
1.7548454999923706,-0.19328200817108154
1.2957861423492432,0.06321852654218674
0.3006531000137329,0.7004055380821228
-0.2117767333984375,-0.6344066262245178
-0.7501920461654663,-0.05777088552713394
1.8708752393722534,0.5711632966995239
-0.10409367829561234,-0.2172083556652069
-0.6784033179283142,-0.405362069606781
0.7515126466751099,0.09951133280992508
-0.4630372226238251,0.08248390257358551
1.0426100492477417,0.4487503468990326
-0.5840707421302795,0.05230085551738739
-1.1822307109832764,-1.0170434713363647
0.6503064036369324,0.6408917307853699
1.002943754196167,0.20297148823738098
-0.4119526445865631,-0.1111483946442604
0.26314276456832886,0.24500223994255066
-2.293649196624756,-0.1509050577878952
-0.4729999601840973,0.06909306347370148
-0.17588238418102264,-0.2949772775173187
-0.5348259210586548,-0.16388656198978424
-0.22212372720241547,0.47755080461502075
0.3266385495662689,-0.009174393489956856
-0.6784033179283142,-0.14981679618358612
0.14716678857803345,0.16620008647441864
-0.427142858505249,0.12119778990745544
-0.06819932907819748,-0.20304714143276215
0.8650538325309753,0.22123664617538452
-0.31168803572654724,0.3849829435348511
-0.4630372226238251,0.16112521290779114
0.793265163898468,0.08354082703590393
0.039483729749917984,-0.5938307046890259
0.7580029964447021,0.21389664709568024
-0.7501920461654663,0.18830519914627075
-0.04558804631233215,0.32346832752227783
